62   0.994394
61   1.04149
60   0.981646
59   1.04402
58   1.01318
57   1.01511
56   1.11756
55   1.07976
54   1.04647
53   1.0315
52   0.969721
51   0.978146
50   1.05298
49   1.01376
48   1.00864
47   1.03356
46   1.10047
45   1.0065
44   1.00372
43   0.986449
42   1.03606
41   1.06893
40   1.04058
39   1.0147
38   1.03197
37   0.933348
36   1.067
35   1.0236
34   1.00855
33   0.980456
32   1.10093
31   0.953759
30   0.991347
29   0.976089
28   0.992488
27   1.06544
26   1.01382
25   0.999758
24   1.0751
23   1.00521
22   0.998138
21   0.990347
20   1.00686
19   1.04371
18   1.05216
17   1.00396
16   1.00664
15   0.923129
14   0.963176
13   0.930192
12   0.934718
11   0.955823
10   1.03075
9   0.968779
8   0.976455
7   0.929686
6   0.980413
5   0.996464
4   0.947315
3   0.96958
2   1.12132
1   1
