68   0.922501
67   0.996613
66   1.00757
65   1.14524
64   1.0372
63   0.999191
62   1.06916
61   1.00625
60   0.924329
59   0.944154
58   0.977448
57   0.969182
56   1.00018
55   1.03096
54   0.985342
53   0.992393
52   1.08099
51   1.05878
50   1.16046
49   1.05196
48   1.04835
47   0.989188
46   1.05004
45   1.0059
44   0.902725
43   1.04881
42   1.04108
41   1.08645
40   0.957456
39   0.982732
38   1.06931
37   1.01735
36   0.972673
35   0.951022
34   0.996578
33   1.00288
32   0.959767
31   1.01061
30   1.02248
29   0.984164
28   1.11577
27   1.11156
26   1.15375
25   1.00103
24   1.01038
23   1.04122
22   0.98905
21   1.00212
20   0.927638
19   0.944184
18   0.979609
17   1.05019
16   1.06368
15   1.01561
14   0.980321
13   1.08625
12   0.975416
11   1.02292
10   1.04273
9   1.01723
8   1.13229
7   0.909045
6   0.94085
5   1.09266
4   1.10664
3   1.02762
2   1.00218
1   3.63701
